"","W1","W2","Winf","W1","W2","Winf"
"H0",0.953020134228188,0.9365548098434,0.944429530201342,0.785324384787472,0.817718120805369,0.800536912751678
"H1",0.914362416107383,0.885637583892617,0.845369127516779,0.818970917225951,0.811454138702461,0.777539149888143
"H2",0.863355704697987,0.739149888143177,0.736286353467561,0.800984340044743,0.771275167785235,0.773512304250559
"C",0.957225950782998,0.9365548098434,0.944429530201342,0.824340044742729,0.788008948545861,0.797852348993289
